Participant_ID,User Valence,User Arousal,Video Type,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_pNN50,HRV_pNN20,HRV_TINN,HRV_HTI,HRV_VHF,peak_number,peak_amplitude,signal_power,med_abs_dev,band_power,rms,Label_1
P10,6.0,3.0,EP1,1680.4395029506188,2000.0,1436.4057708257574,1710.5284833371506,0.7182028854128787,0.8402197514753094,1720.0,563.3879999999999,0.3275511627906976,760.0,85.71428571428571,85.71428571428571,0.0,7.0,0.0001654273490706,5.0,1.025117285930173e-05,0.0008452311312676,0.013469421,2.169043234195808e-05,0.3157033429480718,3
P10,6.0,3.0,EP1,2394.393451377613,2552.7272727272725,2050.702762026184,2519.3438299155064,0.8033379765772088,0.9379746426336806,1960.0,1482.6,0.7564285714285713,2260.0,90.9090909090909,90.9090909090909,0.0,11.0,0.000555123422631,5.0,1.025117285930173e-05,0.0008452311312676,0.013469421,2.169043234195808e-05,0.3157033429480718,3
P10,6.0,3.0,EP1,1752.6208945462222,1827.5,1049.6697893464718,1811.5607582834148,0.5743747137326796,0.9590264812838424,1380.0,533.736,0.3867652173913043,1600.0,93.75,93.75,320.3125,8.0,0.0005568043331546,5.0,1.025117285930173e-05,0.0008452311312676,0.013469421,2.169043234195808e-05,0.3157033429480718,3
P11,4.0,9.0,CN4,780.2807797441221,1340.0,518.1285003328256,799.1471644673405,0.3866630599498699,0.5822990893612852,1480.0,415.128,0.2804918918918919,870.0,81.81818181818183,90.9090909090909,1000.0,3.6666666666666665,0.0070243453149756,7.0,0.0641501788038577,0.0019637698466026,29.48681463839999,262.2497979950576,87.45294915635681,2
P11,4.0,9.0,CN4,648.3826030978931,1415.2380952380952,546.7688638503389,665.0714247357197,0.3863440828013835,0.4581438312602879,1520.0,593.04,0.3901578947368421,920.0,95.23809523809524,95.23809523809524,1515.625,7.0,0.0060115047947127,7.0,0.0641501788038577,0.0019637698466026,29.48681463839999,262.2497979950576,87.45294915635681,2
P11,4.0,9.0,CN4,804.3726652587,1109.6296296296296,561.601292195817,820.2783767628008,0.5061159842886201,0.724901934645691,1000.0,652.3439999999999,0.6523439999999999,780.0,92.5925925925926,96.29629629629628,359.375,9.0,0.0117747025625984,7.0,0.0641501788038577,0.0019637698466026,29.48681463839999,262.2497979950576,87.45294915635681,2
P11,4.0,9.0,CN4,762.3761481738184,1261.6666666666667,534.3152193445255,779.1674892374457,0.4234995133510109,0.6042611478260119,1380.0,563.3879999999999,0.4082521739130434,1050.0,83.33333333333334,95.83333333333334,1320.3125,6.0,0.0244252786583333,7.0,0.0641501788038577,0.0019637698466026,29.48681463839999,262.2497979950576,87.45294915635681,2
P11,4.0,9.0,CN4,706.9524865093963,1293.9130434782608,575.0710559292555,723.5889388188244,0.4444433563969381,0.546367849116805,1480.0,711.6479999999999,0.4808432432432432,1040.0,86.95652173913044,91.30434782608695,1000.0,4.6,0.0072564760378472,7.0,0.0641501788038577,0.0019637698466026,29.48681463839999,262.2497979950576,87.45294915635681,2
P11,4.0,9.0,CN4,750.2295944872106,1600.0,527.1305973538879,771.9798839195686,0.3294566233461799,0.4688934965545066,1720.0,355.824,0.2068744186046511,500.0,89.47368421052632,94.73684210526316,1476.5625,3.8,0.000314167948431,7.0,0.0641501788038577,0.0019637698466026,29.48681463839999,262.2497979950576,87.45294915635681,2
P11,4.0,9.0,CN4,709.7887009526145,1736.470588235294,486.2219294785894,733.0666181641793,0.2800058536970196,0.4087536556976438,1720.0,355.824,0.2068744186046511,440.0,94.11764705882352,94.11764705882352,1281.25,4.25,0.0027388890143,7.0,0.0641501788038577,0.0019637698466026,29.48681463839999,262.2497979950576,87.45294915635681,2
P11,2.0,4.0,CP3,801.6174126043397,1352.7272727272727,538.0226744928119,820.8195672038783,0.3977318158212991,0.5925935173822404,1420.0,444.78,0.313225352112676,630.0,90.9090909090909,90.9090909090909,1242.1875,4.4,0.010824839962651,10.0,0.0096594307689849,0.0024403316101255,6.866022899400005,11.8924796309849,40.165769946465815,1
P11,2.0,4.0,CP3,577.614140441606,1372.7272727272727,455.9676452408586,590.9475844937922,0.3321618607714864,0.4207785129044811,1460.0,385.476,0.2640246575342466,660.0,81.81818181818183,90.9090909090909,718.75,7.333333333333333,0.0012552870464032,10.0,0.0096594307689849,0.0024403316101255,6.866022899400005,11.8924796309849,40.165769946465815,1
P11,2.0,4.0,CP3,1027.889352867871,1268.3333333333333,613.526277150069,1050.9908744522086,0.483726368318057,0.8104252453623162,1460.0,711.6479999999999,0.4874301369863013,1040.0,87.5,91.66666666666666,1359.375,4.8,0.0087202380470822,10.0,0.0096594307689849,0.0024403316101255,6.866022899400005,11.8924796309849,40.165769946465815,1
P11,2.0,4.0,CP3,857.5313405351434,1428.571428571429,587.3524130731543,879.4639515666706,0.4111466891512079,0.6002719383746004,1560.0,474.432,0.3041230769230769,680.0,90.47619047619048,90.47619047619048,1281.25,5.25,0.0125697611989136,10.0,0.0096594307689849,0.0024403316101255,6.866022899400005,11.8924796309849,40.165769946465815,1
P11,2.0,4.0,CP3,779.1081592497436,1376.3636363636365,575.6532145108054,797.658478058779,0.4182420977291188,0.5660627312910952,1600.0,504.084,0.3150524999999999,680.0,86.36363636363636,90.9090909090909,1281.25,4.4,0.0035189254932289,10.0,0.0096594307689849,0.0024403316101255,6.866022899400005,11.8924796309849,40.165769946465815,1
P11,2.0,4.0,CP3,941.0447478155884,1236.6666666666667,637.7042156569664,961.957819163503,0.5156637862455253,0.7609526262659744,1380.0,593.04,0.4297391304347825,1090.0,95.83333333333334,95.83333333333334,1039.0625,4.8,0.0065984310450071,10.0,0.0096594307689849,0.0024403316101255,6.866022899400005,11.8924796309849,40.165769946465815,1
P11,2.0,4.0,CP3,826.9175246616754,1098.571428571429,587.4219524877753,842.1814030655839,0.5347143910811999,0.752720763671226,980.0,741.3,0.7564285714285713,980.0,85.71428571428571,92.85714285714286,39.0625,9.333333333333334,0.0108844446435011,10.0,0.0096594307689849,0.0024403316101255,6.866022899400005,11.8924796309849,40.165769946465815,1
P11,3.0,2.0,EN3,933.2251019497336,1346.0869565217392,582.7344563695511,954.6622892835386,0.4329099643572247,0.6932873819394016,1480.0,652.3439999999999,0.4407729729729729,840.0,95.65217391304348,95.65217391304348,78.125,7.666666666666667,0.0016317973699213,8.0,4.963293260582669,0.004699264210001,66.3513508098,2024299.1296310103,3261.254071355333,4
P11,3.0,2.0,EN3,817.0785710715634,1260.0,545.016952269257,835.2131630116854,0.4325531367216325,0.6484750564060027,1300.0,652.3439999999999,0.5018030769230769,1010.0,95.83333333333334,95.83333333333334,39.0625,6.0,0.0095338265539387,8.0,4.963293260582669,0.004699264210001,66.3513508098,2024299.1296310103,3261.254071355333,4
P11,3.0,2.0,EN3,822.5901442726781,1314.7826086956522,515.4068963204738,841.9478549626399,0.3920092134712598,0.6256472658158596,1480.0,355.824,0.2404216216216216,760.0,86.95652173913044,95.65217391304348,0.0,5.75,0.0045652457609346,8.0,4.963293260582669,0.004699264210001,66.3513508098,2024299.1296310103,3261.254071355333,4
P11,3.0,2.0,EN3,509.72759609640735,1589.4736842105262,460.6936037012323,523.062875036864,0.2898403466994508,0.3206895472129715,1720.0,355.824,0.2068744186046511,460.0,84.21052631578947,89.47368421052632,1242.1875,3.8,0.0037991287969383,8.0,4.963293260582669,0.004699264210001,66.3513508098,2024299.1296310103,3261.254071355333,4
P11,3.0,2.0,EN3,835.1789086919098,1383.6363636363635,545.0604637018806,855.694649587885,0.3939333180499794,0.6036115634435616,1520.0,474.432,0.3121263157894736,680.0,81.81818181818183,86.36363636363636,1281.25,5.5,0.0344897385781364,8.0,4.963293260582669,0.004699264210001,66.3513508098,2024299.1296310103,3261.254071355333,4
